Source,Region,SubRegion,Country/Territory,DrugGroup,Drug,DrugState,LevelOfSale,Year,Typical price,Minimum price,Maximum price,Unit,Currency
ARQ,Americas,Central America,El Salvador,Cocaine-type,Cocaine,,Street,2018,2.00,2.00,5.00,Gram,USA
ARQ,Americas,Central America,El Salvador,Cocaine-type,Cocaine,,Wholesale,2018,13000.00,12500.00,14500.00,Kilogram,USA
ARQ,Americas,Central America,El Salvador,Cocaine-type,Cocaine,,Wholesale,2017,450.00,400.00,500.00,Ounce,USA
ARQ,Americas,Central America,El Salvador,Cocaine-type,Cocaine,,Wholesale,2017,13000.00,12500.00,14500.00,Kilogram,USA
ARQ,Americas,Central America,El Salvador,Cocaine-type,Cocaine,,Street,2017,2.00,2.00,5.00,Gram,USA
ARQ,Americas,Central America,El Salvador,Cocaine-type,Cocaine,,Street,2017,20.00,15.00,25.00,Gram,USA
ARQ,Americas,Central America,El Salvador,Cocaine-type,Cocaine,,Street,2016,15.00,12.00,25.00,Gram,USA
ARQ,Americas,Central America,El Salvador,Cocaine-type,Cocaine,,Wholesale,2016,13500.00,12000.00,15000.00,Kilogram,USA
ARQ,Americas,Central America,El Salvador,Cocaine-type,Cocaine,,Street,2016,15.00,12.00,25.00,Gram,USA
ARQ,Americas,Central America,El Salvador,Cocaine-type,Cocaine,,Wholesale,2016,13500.00,12000.00,15000.00,Kilogram,USA
ARQ,Americas,Central America,Guatemala,Amphetamine-type stimulants,Amphetamine,,Wholesale,2019,750000.00,740000.00,760000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,Central America,Guatemala,Amphetamine-type stimulants,Amphetamine,,Wholesale,2018,750000.00,740000.00,760000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,Central America,Guatemala,Amphetamine-type stimulants,Amphetamine,,Wholesale,2017,750000.00,740000.00,760000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,Central America,Guatemala,Amphetamine-type stimulants,Methamphetamine,,Wholesale,2019,15000.00,12000.00,17000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,Central America,Guatemala,Amphetamine-type stimulants,Methamphetamine,,Wholesale,2018,15000.00,12000.00,17000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,Central America,Guatemala,Amphetamine-type stimulants,Other stimulants,,Wholesale,2018,15000.00,13000.00,17000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Europe,Eastern Europe,Ukraine,Any other drugs/substances,Other drugs/substances,,Retail,2020,600.00,250.00,1200.00,Grams,"National currency (not EUR, USD or CHF)"
ARQ,Americas,Central America,Guatemala,Cannabis-type drugs,Cannabis herb (marijuana),,Wholesale,2019,713.00,700.00,800.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,Central America,Guatemala,Cannabis-type drugs,Cannabis herb (marijuana),,Street,2019,1.55,1.00,2.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,Central America,Guatemala,Cannabis-type drugs,Cannabis herb (marijuana),,Wholesale,2018,713.00,700.00,800.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,Central America,Guatemala,Cannabis-type drugs,Cannabis herb (marijuana),,Street,2018,1.55,1.00,2.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,Central America,Guatemala,Cannabis-type drugs,Cannabis herb (marijuana),,Street,2017,1.50,1.50,2.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,Central America,Guatemala,Cannabis-type drugs,Cannabis herb (marijuana),,Wholesale,2017,713.00,700.00,750.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,Central America,Guatemala,Cocaine-type,Cocaine,,Wholesale,2019,71275.20,70000.00,74000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,Central America,Guatemala,Cocaine-type,Cocaine,,Wholesale,2019,102741.75,100000.00,115000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,Central America,Guatemala,Cocaine-type,Cocaine,,Street,2019,175.00,150.00,250.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Americas,Central America,Guatemala,Cocaine-type,Cocaine,,Wholesale,2018,102741.75,100000.00,115000.00,Kilogram,"National currency (not EUR, USD or CHF)"
